Serial No,Location,Apartment_size,Bed,Bath,Price,Area,Area_code
63,"Block J, Bashundhara R-A, Dhaka",1000,3,2,18000,Bashundhara,10
64,"Sector 10, Uttara, Dhaka",1500,3,3,25000,Uttara,72
65,"Block J, Bashundhara R-A, Dhaka",2000,3,3,26000,Bashundhara,10
66,"Gulshan 1, Gulshan, Dhaka",3680,3,4,200000,Gulshan,18
67,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
68,"Maghbazar, Dhaka",1058,2,2,28000,Maghbazar,40
69,"Block I Extension, Bashundhara R-A, Dhaka",2420,3,4,45000,Bashundhara,10
70,"West Kalachandpur, Kalachandpur, Dhaka",900,2,2,16000,Kalachandpur,29
71,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara,10
72,"Sector 3, Uttara, Dhaka",1650,3,3,35000,Uttara,72
73,"Badda, Dhaka",1250,3,3,25000,Badda,3
74,"Mohammadpur, Dhaka",2700,3,3,60000,Mohammadpur,46
75,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara,10
76,"East Badda, Badda, Dhaka",1200,3,3,20000,Badda,3
77,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara,10
78,"Dhanmondi, Dhaka",2660,3,4,85000,Dhanmondi,14
79,"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",800,2,2,13000,Mirpur,44
80,"Block A, Niketan, Dhaka",1570,3,3,35000,Niketan,51
81,"Banani, Dhaka",3245,4,4,110000,Banani,4
82,"Banani, Dhaka",3245,4,4,110000,Banani,4
83,"Banani, Dhaka",3245,4,4,110000,Banani,4
84,"East Goran, Goran, Khilgaon, Dhaka",800,2,2,15000,Khilgaon,33
85,"Block H, Bashundhara R-A, Dhaka",1600,3,3,26000,Bashundhara,10
86,"Block C, Section 13, Mirpur, Dhaka",745,3,2,15000,Mirpur,44
87,"Block I, Bashundhara R-A, Dhaka",1500,3,3,27000,Bashundhara,10
88,"Block B, Bashundhara R-A, Dhaka",1900,3,4,40000,Bashundhara,10
89,"Block G, Bashundhara R-A, Dhaka",1300,2,2,24760,Bashundhara,10
90,"Gulshan 1, Gulshan, Dhaka",2400,3,3,100000,Gulshan,18
91,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1050,3,2,14000,Mohammadpur,46
92,"Block G, Bashundhara R-A, Dhaka",2300,4,3,32000,Bashundhara,10
93,"Sector 5, Uttara, Dhaka",950,2,3,26000,Uttara,72
94,"Block D, Bashundhara R-A, Dhaka",2100,3,4,40000,Bashundhara,10
95,"Block G, Bashundhara R-A, Dhaka",1600,3,3,25000,Bashundhara,10
96,"Block A, Bashundhara R-A, Dhaka",600,2,1,27000,Bashundhara,10
97,"New Eskaton, Eskaton, Dhaka",1300,3,3,25000,Eskaton,16
98,"PC Culture Housing, Mohammadpur, Dhaka",1000,3,3,24000,Mohammadpur,46
99,"Mirpur, Dhaka",1180,3,3,17000,Mirpur,44
100,"Banani, Dhaka",2550,3,3,95000,Banani,4
101,"Block C, Bashundhara R-A, Dhaka",1900,3,4,35000,Bashundhara,10
102,"Dhanmondi, Dhaka",2000,3,4,55000,Dhanmondi,14
103,"Block H, Banasree, Dhaka",1800,4,4,31000,Banasree,5
104,"Block B, Bashundhara R-A, Dhaka",2025,3,4,45000,Bashundhara,10
105,"Baridhara, Dhaka",1524,3,3,100000,Baridhara,8
106,"Block I, Bashundhara R-A, Dhaka",1500,3,3,26000,Bashundhara,10
107,"Mohammadpur, Dhaka",1200,3,3,20000,Mohammadpur,46
108,"Mohammadpur, Dhaka",950,3,2,19000,Mohammadpur,46
109,"Middle Monipur, Mirpur, Dhaka",1250,3,3,16000,Mirpur,44
110,"Block G, Bashundhara R-A, Dhaka",1000,2,2,20000,Bashundhara,10
111,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
112,"Block K, Baridhara, Dhaka",3000,3,4,240000,Baridhara,8
113,"Block B, Niketan, Dhaka",1450,3,3,54000,Niketan,51
114,"Gulshan 2, Gulshan, Dhaka",3000,3,4,150000,Gulshan,18
115,"Block F, Bashundhara R-A, Dhaka",2359,4,3,55000,Bashundhara,10
116,"Gulshan 1, Gulshan, Dhaka",2000,3,3,90000,Gulshan,18
117,"Gulshan 1, Gulshan, Dhaka",2000,3,3,90000,Gulshan,18
118,"Block K, Baridhara, Dhaka",3000,3,3,95000,Baridhara,8
119,"Monipuripara, Tejgaon, Dhaka",2200,4,4,60000,Tejgaon,69
120,"East Goran, Goran, Khilgaon, Dhaka",1000,3,3,13000,Khilgaon,33
121,"Block H, Banasree, Dhaka",1600,4,3,30000,Banasree,5
122,"Gulshan 1, Gulshan, Dhaka",2200,3,3,55000,Gulshan,18
123,"Sector 10, Uttara, Dhaka",850,2,2,14000,Uttara,72
124,"Block D, Bashundhara R-A, Dhaka",1650,3,3,35000,Bashundhara,10
125,"Block D, Bashundhara R-A, Dhaka",2100,3,3,42000,Bashundhara,10
126,"Niketan, Dhaka",2021,3,3,50000,Niketan,51
127,"Banani, Dhaka",2960,4,5,100000,Banani,4
128,"PC Culture Housing, Mohammadpur, Dhaka",720,2,2,15000,Mohammadpur,46
129,"Gulshan 2, Gulshan, Dhaka",2100,4,4,100000,Gulshan,18
130,"Dhanmondi, Dhaka",1800,3,3,50000,Dhanmondi,14
131,"Block D, Bashundhara R-A, Dhaka",1100,2,2,140000,Bashundhara,10
132,"Sector 11, Uttara, Dhaka",1550,3,4,26000,Uttara,72
133,"Shantibag, Malibagh, Dhaka",600,2,1,15000,Malibagh,41
134,"Rajabazar, Tejgaon, Dhaka",1750,3,4,33000,Tejgaon,69
135,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari,22
136,"Sector 7, Uttara, Dhaka",1750,3,4,55000,Uttara,72
137,"Block F, aziz Moholla, Mohammadpur, Dhaka",650,2,2,16000,Mohammadpur,46
138,"Kajla, Jatra Bari, Dhaka",1000,3,2,15000,Jatra Bari,22
139,"East Bashabo, Bashabo, Dhaka",700,2,1,8500,Bashabo,9
140,"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",1500,3,3,25000,Mohammadpur,46
141,"Baridhara DOHS, Dhaka",1250,3,3,45000,Baridhara,8
142,"Sector 13, Uttara, Dhaka",900,2,2,17000,Uttara,72
143,"Mohammadi Housing LTD., Mohammadpur, Dhaka",1200,3,3,18000,Mohammadpur,46
144,"Gulshan 1, Gulshan, Dhaka",2750,4,4,90000,Gulshan,18
145,"Block D, Bashundhara R-A, Dhaka",1300,3,3,35000,Bashundhara,10
146,"Tejgaon, Dhaka",600,2,2,17000,Tejgaon,69
147,"West Kalachandpur, Kalachandpur, Dhaka",750,2,2,14000,Kalachandpur,29
148,"Sector 12, Uttara, Dhaka",500,1,1,11000,Uttara,72
149,"Sector 3, Uttara, Dhaka",1200,2,3,20000,Uttara,72
150,"East Goran, Goran, Khilgaon, Dhaka",900,2,2,12000,Khilgaon,33
151,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",700,2,2,15000,Mohammadpur,46
152,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",750,2,2,15000,Mohammadpur,46
153,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",950,2,2,10000,Mohammadpur,46
154,"Baridhara, Dhaka",4200,4,4,400000,Baridhara,8
155,"Baridhara, Dhaka",4200,4,4,400000,Baridhara,8
156,"Sector 13, Uttara, Dhaka",2600,4,4,65000,Uttara,72
157,"Block D, Bashundhara R-A, Dhaka",1300,3,3,60000,Bashundhara,10
158,"Block D, Bashundhara R-A, Dhaka",1550,3,4,36000,Bashundhara,10
159,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur,44
160,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",1050,3,2,15000,Mirpur,44
161,"Sector 4, Uttara, Dhaka",1500,3,3,35000,Uttara,72
162,"Block G, Bashundhara R-A, Dhaka",2250,3,3,75000,Bashundhara,10
163,"Tejgaon, Dhaka",400,1,1,13000,Tejgaon,69
164,"Sector 5, Uttara, Dhaka",1300,3,3,60000,Uttara,72
165,"Nikunja 2, Nikunja, Dhaka",1600,3,3,60000,Nikunja,52
166,"Dhanmondi, Dhaka",2200,3,3,60000,Dhanmondi,14
167,"Block A, Banasree, Dhaka",850,2,2,15000,Banasree,5
168,"Baridhara DOHS, Dhaka",1385,3,4,40000,Baridhara,8
169,"Sector 13, Uttara, Dhaka",1000,2,2,20000,Uttara,72
170,"Sector 12, Uttara, Dhaka",900,2,2,17000,Uttara,72
171,"Sector 13, Uttara, Dhaka",800,2,2,18000,Uttara,72
172,"Block B, Bashundhara R-A, Dhaka",1600,3,3,42000,Bashundhara,10
173,"Gulshan 2, Gulshan, Dhaka",2200,3,3,85000,Gulshan,18
174,"Gulshan 2, Gulshan, Dhaka",2400,3,3,120000,Gulshan,18
175,"Block D, Bashundhara R-A, Dhaka",1300,3,3,40000,Bashundhara,10
176,"Gulshan 1, Gulshan, Dhaka",2800,4,4,70000,Gulshan,18
177,"Block J, Bashundhara R-A, Dhaka",1250,3,3,19000,Bashundhara,10
178,"Block C, Aftab Nagar, Dhaka",1700,3,3,52500,Aftab Nagar,1
179,"Block D, Section 2, Mirpur, Dhaka",800,2,1,15000,Mirpur,44
180,"Block D, Bashundhara R-A, Dhaka",1250,3,2,24000,Bashundhara,10
181,"Gulshan 2, Gulshan, Dhaka",2800,4,4,250000,Gulshan,18
182,"West Shewrapara, Mirpur, Dhaka",800,2,2,14000,Mirpur,44
183,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur,44
184,"Dhanmondi, Dhaka",2700,3,4,90000,Dhanmondi,14
185,"Banani, Dhaka",3000,4,4,100000,Banani,4
186,"Nayatola, Maghbazar, Dhaka",550,2,2,13000,Maghbazar,40
187,"Block A, Section 11, Mirpur, Dhaka",1057,3,2,18000,Mirpur,44
188,"Block D, Bashundhara R-A, Dhaka",2250,3,4,35000,Bashundhara,10
189,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",1050,3,2,16000,Mohammadpur,46
190,"Block C, Section 2, Mirpur, Dhaka",1612,3,4,25000,Mirpur,44
191,"Baitul Aman Housing Society, Adabor, Dhaka",550,2,1,8500,Adabor,0
192,"Middle Paikpara, Mirpur, Dhaka",1600,3,3,15000,Mirpur,44
193,"Taltola, Khilgaon, Dhaka",550,2,1,11000,Taltola,68
194,"Baitul Aman Housing Society, Adabor, Dhaka",400,1,1,5000,Adabor,0
195,"South Monipur, Mirpur, Dhaka",850,3,2,13000,Mirpur,44
196,"Gulshan 2, Gulshan, Dhaka",3000,4,4,150000,Gulshan,18
197,"Gulshan 1, Gulshan, Dhaka",1650,3,3,55000,Gulshan,18
198,"Dolipara, Uttara, Dhaka",1800,5,5,35000,Uttara,72
199,"Sector 3, Uttara, Dhaka",1890,3,3,38000,Uttara,72
200,"Pirerbag, Mirpur, Dhaka",1200,3,3,15000,Mirpur,44
201,"Sector 4, Uttara, Dhaka",2600,4,4,75000,Uttara,72
202,"Eskaton, Dhaka",1900,3,3,45000,Eskaton,16
203,"Baridhara, Dhaka",2700,3,3,140000,Baridhara,8
204,"Banani, Dhaka",1800,3,3,70000,Banani,4
205,"Kajla, Jatra Bari, Dhaka",800,3,2,15000,Jatra Bari,22
206,"Sector 5, Uttara, Dhaka",1050,2,2,20000,Uttara,72
207,"Eskaton, Dhaka",1350,3,3,30000,Eskaton,16
208,"Block D, Bashundhara R-A, Dhaka",1450,3,3,25000,Bashundhara,10
209,"Eskaton, Dhaka",1760,3,4,35000,Eskaton,16
210,"Kakrail, Dhaka",1400,3,3,35000,Kakrail,27
211,"Lalmatia, Dhaka",1000,2,2,26000,Lalmatia,38
212,"Sector 11, Uttara, Dhaka",1750,3,3,26000,Uttara,72
213,"Baridhara, Dhaka",5500,4,5,350000,Baridhara,8
214,"Sector 6, Uttara, Dhaka",1300,3,3,35000,Uttara,72
215,"1st Colony, Mirpur, Dhaka",1200,3,3,16000,Mirpur,44
216,"Baridhara, Dhaka",1500,2,3,115000,Baridhara,8
217,"Sector 11, Uttara, Dhaka",900,2,2,17000,Uttara,72
218,"Uttar Badda, Badda, Dhaka",1393,3,3,18000,Badda,3
219,"Block B, Bashundhara R-A, Dhaka",2500,3,3,80000,Bashundhara,10
220,"Sector 11, Uttara, Dhaka",1360,3,3,25000,Uttara,72
221,"Sector 4, Uttara, Dhaka",1450,3,3,26000,Uttara,72
222,"Mohammadpur, Dhaka",600,2,2,18000,Mohammadpur,46
223,"Baitul Aman Housing Society, Adabor, Dhaka",1050,3,2,15500,Adabor,0
224,"Block B, Bashundhara R-A, Dhaka",2000,3,4,60000,Bashundhara,10
225,"Chandmiya Housing, Mohammadpur, Dhaka",1050,2,2,14000,Mohammadpur,46
226,"Block G, Bashundhara R-A, Dhaka",1400,3,3,36750,Bashundhara,10
227,"Block C, Aftab Nagar, Dhaka",1050,2,2,16000,Aftab Nagar,1
228,"East Merul Badda, Merul Badda, Badda, Dhaka",870,2,2,14000,Badda,3
229,"Sector 11, Uttara, Dhaka",1600,3,4,50000,Uttara,72
230,"Sector 4, Uttara, Dhaka",1100,2,2,25000,Uttara,72
231,"Baridhara, Dhaka",1800,2,2,120000,Baridhara,8
232,"Sector 12, Uttara, Dhaka",1665,3,3,35000,Uttara,72
233,"Sector 6, Uttara, Dhaka",2000,3,4,55000,Uttara,72
234,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900,2,3,16000,Mohammadpur,46
235,"Sector 3, Uttara, Dhaka",1530,3,4,33500,Uttara,72
236,"Block J, Bashundhara R-A, Dhaka",1200,3,3,25000,Bashundhara,10
237,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",2100,3,3,35000,Mirpur,44
238,"Faydabad, Dakshin Khan, Dhaka",2400,4,3,30000,Dakshin Khan,12
239,"Baridhara, Dhaka",3750,4,4,300000,Baridhara,8
240,"Sector 1, Block F, Aftab Nagar, Dhaka",1300,3,3,17000,Aftab Nagar,1
241,"Block I, Bashundhara R-A, Dhaka",1500,3,4,25000,Bashundhara,10
242,"Sector 2, Block F, Aftab Nagar, Dhaka",650,2,2,14000,Aftab Nagar,1
243,"Block H, Bashundhara R-A, Dhaka",1600,3,3,22000,Bashundhara,10
244,"Sector 4, Uttara, Dhaka",1600,3,4,80000,Uttara,72
245,"Section 2, Mirpur, Dhaka",1400,3,3,25000,Mirpur,44
246,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",1050,3,2,15000,Mirpur,44
247,"Lalmatia, Dhaka",1360,3,4,30000,Lalmatia,38
248,"Sector 3, Uttara, Dhaka",2000,3,3,70000,Uttara,72
249,"Sector 10, Uttara, Dhaka",1320,3,3,22000,Uttara,72
250,"Mohammadpur, Dhaka",550,1,1,12500,Mohammadpur,46
251,"Block F, aziz Moholla, Mohammadpur, Dhaka",650,2,1,12000,Mohammadpur,46
252,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",750,3,2,16000,Mohammadpur,46
253,"Mohammadia Housing Society, Mohammadpur, Dhaka",2000,3,4,30000,Mohammadpur,46
254,"Block D, Mansurabad Housing Society, Adabor, Dhaka",1200,3,3,20000,Adabor,0
255,"Block C, Bashundhara R-A, Dhaka",1850,3,4,40000,Bashundhara,10
256,"Mohakhali DOHS, Dhaka",2000,2,3,70000,Mohakhali,45
257,"Mohakhali DOHS, Dhaka",2700,3,4,85000,Mohakhali,45
258,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara,10
259,"Block K, Bashundhara R-A, Dhaka",1200,3,3,20000,Bashundhara,10
260,"Faydabad, Dakshin Khan, Dhaka",800,3,2,8500,Dakshin Khan,12
261,"Banani, Dhaka",1650,3,3,60000,Banani,4
262,"Sector 11, Uttara, Dhaka",900,2,2,18000,Uttara,72
263,"Block A, Bashundhara R-A, Dhaka",2100,3,4,60000,Bashundhara,10
264,"Sector 10, Uttara, Dhaka",1450,3,3,30000,Uttara,72
265,"Sector 13, Uttara, Dhaka",1500,3,4,25000,Uttara,72
266,"Sector 1, Uttara, Dhaka",2000,2,2,30000,Uttara,72
267,"Jigatola, Hazaribag, Dhaka",1200,3,3,20000,Hazaribag,20
268,"Sector 13, Uttara, Dhaka",1500,3,4,25000,Uttara,72
269,"Block J, Baridhara, Dhaka",2500,4,5,70000,Baridhara,8
270,"Kallyanpur, Mirpur, Dhaka",1372,3,3,18000,Mirpur,44
271,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",1350,3,3,20000,Shyamoli,65
272,"Gulshan 1, Gulshan, Dhaka",2450,3,4,80000,Gulshan,18
273,"Baridhara, Dhaka",3000,3,4,215000,Baridhara,8
274,"Baridhara, Dhaka",3200,4,4,200000,Baridhara,8
275,"Wari, Sutrapur, Dhaka",1100,3,2,22000,Sutrapur,67
276,"Dhanmondi, Dhaka",2200,3,4,55000,Dhanmondi,14
277,"Gulshan 1, Gulshan, Dhaka",2720,3,3,80000,Gulshan,18
278,"Block J, Bashundhara R-A, Dhaka",1250,3,3,20000,Bashundhara,10
279,"Sector 1, Uttara, Dhaka",2840,4,4,60000,Uttara,72
280,"Dhanmondi, Dhaka",1778,3,3,45000,Dhanmondi,14
281,"Mohammadpur, Dhaka",2700,3,4,60000,Mohammadpur,46
282,"Banani, Dhaka",2400,3,4,80000,Banani,4
283,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara,72
284,"Gulshan 2, Gulshan, Dhaka",2200,3,3,70000,Gulshan,18
285,"Block D, Bashundhara R-A, Dhaka",1776,3,3,30000,Bashundhara,10
286,"Mirpur, Dhaka",500,2,1,7000,Mirpur,44
287,"Hatirpool, Dhaka",1500,3,3,35000,Hatirpool,19
288,"South Pirerbag, Pirerbag, Mirpur, Dhaka",600,2,1,8500,Mirpur,44
289,"Gulshan 2, Gulshan, Dhaka",3000,2,4,160000,Gulshan,18
290,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",1500,3,3,27000,Mohammadpur,46
291,"Sector 13, Uttara, Dhaka",2600,4,4,65000,Uttara,72
292,"Sector 5, Uttara, Dhaka",800,2,1,16000,Uttara,72
293,"Block C, Bashundhara R-A, Dhaka",2500,3,3,45000,Bashundhara,10
294,"Sector 5, Uttara, Dhaka",1400,3,3,30000,Uttara,72
295,"Block C, Bashundhara R-A, Dhaka",1410,3,3,28000,Bashundhara,10
296,"Sector 12, Uttara, Dhaka",800,2,2,13500,Uttara,72
297,"Block C, Section 2, Mirpur, Dhaka",1612,3,4,25000,Mirpur,44
298,"Dhanmondi, Dhaka",2600,4,5,70000,Dhanmondi,14
299,"Sector 13, Uttara, Dhaka",500,1,1,15000,Uttara,72
300,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara,72
301,"East Merul Badda, Merul Badda, Badda, Dhaka",1300,3,3,18000,Badda,3
302,"Sector 5, Uttara, Dhaka",1600,3,3,40000,Uttara,72
303,"Taltola, Agargaon, Dhaka",1100,3,3,20000,Taltola,68
304,"Gulshan 2, Gulshan, Dhaka",4500,6,6,280000,Gulshan,18
305,"Block J, Bashundhara R-A, Dhaka",1250,3,3,20000,Bashundhara,10
306,"Sector 11, Uttara, Dhaka",1500,3,4,35000,Uttara,72
307,"Block F, Bashundhara R-A, Dhaka",2700,4,5,39000,Bashundhara,10
308,"Gawair, Dakshin Khan, Dhaka",700,2,2,10000,Dakshin Khan,12
309,"Block D, Bashundhara R-A, Dhaka",2400,4,4,75000,Bashundhara,10
310,"Sector 5, Uttara, Dhaka",650,2,1,15000,Uttara,72
311,"Mollika R/A, Section 7, Mirpur, Dhaka",1050,3,2,17000,Mirpur,44
312,"Mollika R/A, Section 7, Mirpur, Dhaka",1050,3,2,17000,Mirpur,44
313,"Mohammadpur, Dhaka",2700,3,3,60000,Mohammadpur,46
314,"Eskaton, Dhaka",1600,3,3,40000,Eskaton,16
315,"Sector 12, Uttara, Dhaka",1800,3,4,27000,Uttara,72
316,"West Shewrapara, Mirpur, Dhaka",600,2,2,12000,Mirpur,44
317,"Banani, Dhaka",2200,3,4,55000,Banani,4
318,"Sector 14, Uttara, Dhaka",1100,2,2,20000,Uttara,72
319,"Sector 4, Uttara, Dhaka",1500,3,4,35000,Uttara,72
320,"Block G, Bashundhara R-A, Dhaka",2100,4,4,54000,Bashundhara,10
321,"Sector 3, Uttara, Dhaka",1663,3,3,35000,Uttara,72
322,"Block B, Bashundhara R-A, Dhaka",1950,3,4,35000,Bashundhara,10
323,"Block H, Bashundhara R-A, Dhaka",950,2,2,18000,Bashundhara,10
324,"Road No 4, Block G, Bashundhara R-A, Dhaka",1500,3,3,25000,Bashundhara,10
325,"Badda, Dhaka",950,2,2,20000,Badda,3
326,"Sector 3, Uttara, Dhaka",2250,3,4,65000,Uttara,72
327,"Gulbag, Malibagh, Dhaka",750,2,2,16000,Malibagh,41
328,"Jamtola, East Rampura, Rampura, Dhaka",700,2,2,11500,Rampura,56
329,"Gulshan 1, Gulshan, Dhaka",2200,3,3,50000,Gulshan,18
330,"Middle Monipur, Mirpur, Dhaka",400,1,1,6500,Mirpur,44
331,"Baridhara, Dhaka",4700,4,4,300000,Baridhara,8
332,"Banani, Dhaka",3000,4,5,90000,Banani,4
333,"Sector 3, Uttara, Dhaka",1700,3,4,50000,Uttara,72
334,"Tejkunipara, Tejgaon, Dhaka",1200,3,3,30000,Tejgaon,69
335,"Gulshan 2, Gulshan, Dhaka",3000,4,4,135000,Gulshan,18
336,"Sector 13, Uttara, Dhaka",2015,4,4,45000,Uttara,72
337,"Sector 12, Uttara, Dhaka",600,2,1,11000,Uttara,72
338,"Baridhara, Dhaka",2500,3,3,130000,Baridhara,8
339,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",700,2,2,13000,Mohammadpur,46
340,"South Monipur, Mirpur, Dhaka",850,2,2,11000,Mirpur,44
341,"West Shewrapara, Mirpur, Dhaka",700,2,2,12000,Mirpur,44
342,"Block G, Bashundhara R-A, Dhaka",1500,3,3,30000,Bashundhara,10
343,"Block G, Bashundhara R-A, Dhaka",1600,3,3,25000,Bashundhara,10
344,"Block D, Bashundhara R-A, Dhaka",1800,3,3,30000,Bashundhara,10
345,"Block K, Bashundhara R-A, Dhaka",1200,3,3,21000,Bashundhara,10
346,"Sector 9, Uttara, Dhaka",800,2,2,18000,Uttara,72
347,"Block D, Bashundhara R-A, Dhaka",1350,3,3,25000,Bashundhara,10
348,"Block D, Bashundhara R-A, Dhaka",1450,3,3,30000,Bashundhara,10
349,"Monipuripara, Tejgaon, Dhaka",1600,3,4,45500,Tejgaon,69
350,"Gulbag, Malibagh, Dhaka",600,2,1,14000,Malibagh,41
